spec,variable,contrast,coef_mean,coef_min,coef_max,std_err_mean,p_value_mean,n_versions,max_abs_diff,stars,coef_se
spec_c_attack_decision,legal_civil,expand_vs_mixed,-0.22095196658100913,-0.2209519665810093,-0.220951966581009,0.26980426916394806,0.412823906954077,2,3.0531133177191805e-16,,-0.221 (0.270)
spec_c_attack_decision,legal_common,contract_vs_expand,1.4557271772217022,1.455727177221702,1.4557271772217024,0.3547013502194813,4.0590491660503816e-05,2,4.440892098500626e-16,***,1.456*** (0.355)
spec_c_attack_decision,legal_common,contract_vs_mixed,0.5680558260398508,0.5680558260398505,0.5680558260398512,0.48844987704645243,0.2448389560482389,2,6.661338147750939e-16,,0.568 (0.488)
spec_c_attack_decision,legal_common,expand_vs_mixed,-0.8876713511818506,-0.8876713511818514,-0.8876713511818497,0.3780517003662292,0.01887372261423715,2,1.6653345369377348e-15,**,-0.888** (0.378)
spec_c_attack_decision,v2jupoatck_lag1,contract_vs_expand,0.12316959812959075,0.1231695981295906,0.1231695981295909,0.106335135682985,0.24673545301883304,2,3.0531133177191805e-16,,0.123 (0.106)
spec_c_attack_decision,v2jupoatck_lag1,contract_vs_mixed,0.1844061128817237,0.1844061128817235,0.1844061128817239,0.09843548893146664,0.061017280297061896,2,3.885780586188048e-16,*,0.184* (0.098)
spec_c_attack_decision,v2jupoatck_lag1,expand_vs_mixed,0.0612365147521329,0.0612365147521328,0.061236514752133,0.08166649080927185,0.45335318924840673,2,2.0122792321330962e-16,,0.061 (0.082)
spec_c_attack_decision,v2jureview_lag1,contract_vs_expand,-0.6135402437699456,-0.6135402437699462,-0.6135402437699451,0.3079535130260109,0.0463365637216289,2,1.1102230246251565e-15,**,-0.614** (0.308)
spec_c_attack_decision,v2jureview_lag1,contract_vs_mixed,-0.24776682207879497,-0.2477668220787959,-0.247766822078794,0.33304380944987494,0.4569087591926928,2,1.915134717478395e-15,,-0.248 (0.333)
spec_c_attack_decision,v2jureview_lag1,expand_vs_mixed,0.36577342169115024,0.3657734216911499,0.3657734216911505,0.3639678984982261,0.31491579039380346,2,6.106226635438361e-16,,0.366 (0.364)
spec_c_attack_decision,v2x_polyarchy_lag1,contract_vs_expand,-3.101410729910927,-3.1014107299109277,-3.1014107299109264,1.0810196058037334,0.0041181337176072,2,1.3322676295501878e-15,***,-3.101*** (1.081)
spec_c_attack_decision,v2x_polyarchy_lag1,contract_vs_mixed,-5.667771996252537,-5.66777199625254,-5.667771996252534,1.2909148431189406,1.1308613417049927e-05,2,6.217248937900877e-15,***,-5.668*** (1.291)
spec_c_attack_decision,v2x_polyarchy_lag1,expand_vs_mixed,-2.566361266341609,-2.566361266341611,-2.566361266341606,0.9158094520218357,0.0050741651752769495,2,4.884981308350689e-15,***,-2.566*** (0.916)
spec_c_attack_decision,wdj_citizen_lag1,contract_vs_expand,0.2738016293226838,0.2738016293226838,0.2738016293226838,0.3855737119480749,0.47763290103098804,2,0.0,,0.274 (0.386)
spec_c_attack_decision,wdj_citizen_lag1,contract_vs_mixed,0.8428627170165115,0.8428627170165112,0.8428627170165118,0.630451623219324,0.18124909711925968,2,6.661338147750939e-16,,0.843 (0.630)
spec_c_attack_decision,wdj_citizen_lag1,expand_vs_mixed,0.5690610876938276,0.5690610876938272,0.5690610876938279,0.39033253352047076,0.1448714372286013,2,6.661338147750939e-16,,0.569 (0.390)
spec_c_pack,high_court,contract_vs_expand,-0.44893433640828495,-0.4489343364082852,-0.4489343364082847,0.2586586081244904,0.08263016962303825,2,4.996003610813204e-16,*,-0.449* (0.259)
spec_c_pack,high_court,contract_vs_mixed,-0.44742188390908155,-0.4474218839090816,-0.4474218839090815,0.2662775222447197,0.0929020552543234,2,1.1102230246251565e-16,*,-0.447* (0.266)
spec_c_pack,high_court,expand_vs_mixed,0.0015124524992033502,0.0015124524992033,0.0015124524992034,0.1308167114832478,0.9907753711275065,2,9.996344030316351e-17,,0.002 (0.131)
spec_c_pack,j_ind_lag1,contract_vs_expand,-0.14360753617573815,-0.1436075361757409,-0.1436075361757354,0.27380839345754426,0.599943431745248,2,5.495603971894525e-15,,-0.144 (0.274)
spec_c_pack,j_ind_lag1,contract_vs_mixed,0.247599381387159,0.2475993813871572,0.2475993813871608,0.24827963789255225,0.31863826599643014,2,3.608224830031759e-15,,0.248 (0.248)
