spec,variable,contrast,n_versions,sources,coef_min,coef_max,coef_mean,max_abs_diff,sign_patterns
spec_govprot_attack,v2x_polyarchy_lag1,mixed_vs_expand,2,"expand, mixed",2.109676945958753,2.1096769459587787,2.109676945958766,2.5757174171303632e-14,+**
spec_govprot_attack,v2x_polyarchy_lag1,expand_vs_mixed,2,"expand, mixed",-2.1096769459587787,-2.109676945958753,-2.109676945958766,2.5757174171303632e-14,-**
spec_govprot_pack,v2x_polyarchy_lag1,contract_vs_mixed,2,"contract, mixed",-6.984494893732455,-6.98449489373243,-6.9844948937324425,2.4868995751603507e-14,-***
spec_govprot_pack,v2x_polyarchy_lag1,mixed_vs_contract,2,"contract, mixed",6.98449489373243,6.984494893732455,6.9844948937324425,2.4868995751603507e-14,+***
spec_p_pack,v2x_polyarchy_lag1,expand_vs_mixed,2,"expand, mixed",-3.301337816890753,-3.3013378168907286,-3.301337816890741,2.4424906541753444e-14,-***
spec_p_pack,v2x_polyarchy_lag1,mixed_vs_expand,2,"expand, mixed",3.3013378168907286,3.301337816890753,3.301337816890741,2.4424906541753444e-14,+***
spec_govprot_attack,v2x_polyarchy_lag1,mixed_vs_contract,2,"contract, mixed",5.48634726884852,5.486347268848544,5.486347268848531,2.398081733190338e-14,+***
spec_govprot_attack,v2x_polyarchy_lag1,contract_vs_mixed,2,"contract, mixed",-5.486347268848544,-5.48634726884852,-5.486347268848531,2.398081733190338e-14,-***
spec_extended_1_spline_interact,v2jureform_lag1,contract_vs_expand,2,"contract, expand",0.4066568913027084,0.4066568913027316,0.40665689130272,2.3203661214665772e-14,+***
spec_extended_1_spline_interact,v2jureform_lag1,expand_vs_contract,2,"contract, expand",-0.4066568913027316,-0.4066568913027084,-0.40665689130272,2.3203661214665772e-14,-***
spec_extended_2_spline_interact,v2jureview_lag1,contract_vs_mixed,2,"contract, mixed",-0.1960909313151274,-0.1960909313151046,-0.196090931315116,2.2787327580431338e-14,0
spec_extended_2_spline_interact,v2jureview_lag1,mixed_vs_contract,2,"contract, mixed",0.1960909313151046,0.1960909313151274,0.196090931315116,2.2787327580431338e-14,0
spec_extended_2_spline_interact,v2jureview_lag1,expand_vs_contract,2,"contract, expand",0.731758584052056,0.7317585840520783,0.7317585840520671,2.2315482794965646e-14,+**
spec_extended_2_spline_interact,v2jureview_lag1,contract_vs_expand,2,"contract, expand",-0.7317585840520783,-0.731758584052056,-0.7317585840520671,2.2315482794965646e-14,-**
spec_extended_1_spline_interact,legal_common,contract_vs_expand,2,"contract, expand",2.287600116546324,2.287600116546346,2.287600116546335,2.220446049250313e-14,+***
spec_extended_1_spline_interact,legal_common,expand_vs_contract,2,"contract, expand",-2.287600116546346,-2.287600116546324,-2.287600116546335,2.220446049250313e-14,-***
spec_extended_2_spline_interact,j_ind_lag1,contract_vs_expand,2,"contract, expand",-0.2261846846380625,-0.2261846846380405,-0.2261846846380515,2.19824158875781e-14,0
spec_extended_2_spline_interact,j_ind_lag1,expand_vs_contract,2,"contract, expand",0.2261846846380405,0.2261846846380625,0.2261846846380515,2.19824158875781e-14,0
spec_extended_3_spline_interact,j_ind_lag1,expand_vs_contract,2,"contract, expand",0.2229504027659523,0.2229504027659734,0.22295040276596284,2.1094237467877974e-14,0
spec_extended_3_spline_interact,j_ind_lag1,contract_vs_expand,2,"contract, expand",-0.2229504027659734,-0.2229504027659523,-0.22295040276596284,2.1094237467877974e-14,0
spec_govprot_pack,v2x_polyarchy_lag1,mixed_vs_expand,2,"expand, mixed",3.182520452767514,3.182520452767535,3.182520452767524,2.0872192862952943e-14,+**
spec_govprot_pack,v2x_polyarchy_lag1,expand_vs_mixed,2,"expand, mixed",-3.182520452767535,-3.182520452767514,-3.182520452767524,2.0872192862952943e-14,-**
spec_govprot_reform_decision,v2x_polyarchy_lag1,mixed_vs_contract,2,"contract, mixed",4.951340048716694,4.951340048716714,4.951340048716704,2.042810365310288e-14,+***
spec_govprot_reform_decision,v2x_polyarchy_lag1,contract_vs_mixed,2,"contract, mixed",-4.951340048716714,-4.951340048716694,-4.951340048716704,2.042810365310288e-14,-***
spec_c_reform,v2x_polyarchy_lag1,expand_vs_contract,2,"contract, expand",3.5736792222660174,3.573679222266038,3.5736792222660276,2.042810365310288e-14,+***
