variable,coef,class_label,outcome,std_err,p_value,spec,base_category,stars,coef_se,source_base,source_base_label,outcome_short,base_short
v2jureview_lag1,-0.2729145186976264,Contracts Expression,Contracts Expression,0.3615472943544368,0.4503380871076098,spec_extended_2_spline,Mixed Outcome,,-0.273 (0.362),mixed,Mixed Outcome,contract,mixed
v2jureview_lag1,0.4069363496508527,Expands Expression,Expands Expression,0.3338253380856802,0.2228404831199463,spec_extended_2_spline,Mixed Outcome,,0.407 (0.334),mixed,Mixed Outcome,expand,mixed
legal_common,0.3574015304017212,Contracts Expression,Contracts Expression,0.457336641728345,0.4345175463435743,spec_extended_2_spline,Mixed Outcome,,0.357 (0.457),mixed,Mixed Outcome,contract,mixed
legal_common,-1.3073894383118825,Expands Expression,Expands Expression,0.3700845782842824,0.0004113740689242,spec_extended_2_spline,Mixed Outcome,***,-1.307*** (0.37),mixed,Mixed Outcome,expand,mixed
legal_civil,0.1783064771375627,Contracts Expression,Contracts Expression,0.4084122645765821,0.6624126828576273,spec_extended_2_spline,Mixed Outcome,,0.178 (0.408),mixed,Mixed Outcome,contract,mixed
legal_civil,-0.1678735050405602,Expands Expression,Expands Expression,0.3520263871102003,0.6334492705882052,spec_extended_2_spline,Mixed Outcome,,-0.168 (0.352),mixed,Mixed Outcome,expand,mixed
high_court,-0.5413704820717585,Contracts Expression,Contracts Expression,0.2991354006167985,0.0703292796088585,spec_extended_2_spline,Mixed Outcome,*,-0.541* (0.299),mixed,Mixed Outcome,contract,mixed
high_court,-0.1780773850522217,Expands Expression,Expands Expression,0.1736324961623755,0.3050804472326893,spec_extended_2_spline,Mixed Outcome,,-0.178 (0.174),mixed,Mixed Outcome,expand,mixed
j_ind_lag1,0.1067508895652475,Contracts Expression,Contracts Expression,0.263675556748485,0.6855826423079576,spec_extended_2_spline,Mixed Outcome,,0.107 (0.264),mixed,Mixed Outcome,contract,mixed
j_ind_lag1,0.3268462353171295,Expands Expression,Expands Expression,0.2033366783624706,0.1079635682586139,spec_extended_2_spline,Mixed Outcome,,0.327 (0.203),mixed,Mixed Outcome,expand,mixed
v2x_polyarchy_lag1,188.954858065695,Contracts Expression,Contracts Expression,164.3548476112792,0.2502772568923749,spec_extended_2_spline_interact,Mixed Outcome,,188.955 (164.355),mixed,Mixed Outcome,contract,mixed
v2x_polyarchy_lag1,14.157977369970862,Expands Expression,Expands Expression,94.13122364611102,0.8804436662735944,spec_extended_2_spline_interact,Mixed Outcome,,14.158 (94.131),mixed,Mixed Outcome,expand,mixed
wdj_expression_lag1,0.7689858899060414,Contracts Expression,Contracts Expression,0.5561475679855037,0.1667565146967444,spec_extended_2_spline_interact,Mixed Outcome,,0.769 (0.556),mixed,Mixed Outcome,contract,mixed
wdj_expression_lag1,0.2601419518921286,Expands Expression,Expands Expression,0.3689021436308664,0.4806990048622332,spec_extended_2_spline_interact,Mixed Outcome,,0.26 (0.369),mixed,Mixed Outcome,expand,mixed
v2jupoatck_lag1,0.2235109398334484,Contracts Expression,Contracts Expression,0.1517152183766047,0.1406898657805769,spec_extended_2_spline_interact,Mixed Outcome,,0.224 (0.152),mixed,Mixed Outcome,contract,mixed
v2jupoatck_lag1,-0.0557020692472493,Expands Expression,Expands Expression,0.143434191447507,0.6977601304394472,spec_extended_2_spline_interact,Mixed Outcome,,-0.056 (0.143),mixed,Mixed Outcome,expand,mixed
v2jureview_lag1,-0.1960909313151274,Contracts Expression,Contracts Expression,0.3599620049910075,0.5859223582165036,spec_extended_2_spline_interact,Mixed Outcome,,-0.196 (0.36),mixed,Mixed Outcome,contract,mixed
v2jureview_lag1,0.5356676527369019,Expands Expression,Expands Expression,0.342894237792929,0.1182420657557046,spec_extended_2_spline_interact,Mixed Outcome,,0.536 (0.343),mixed,Mixed Outcome,expand,mixed
legal_common,0.2885473960826571,Contracts Expression,Contracts Expression,0.4514206322495001,0.522693800487918,spec_extended_2_spline_interact,Mixed Outcome,,0.289 (0.451),mixed,Mixed Outcome,contract,mixed
legal_common,-1.4068619028195877,Expands Expression,Expands Expression,0.3662110821042209,0.0001222003624578,spec_extended_2_spline_interact,Mixed Outcome,***,-1.407*** (0.366),mixed,Mixed Outcome,expand,mixed
legal_civil,0.1664610471573128,Contracts Expression,Contracts Expression,0.4072049776818673,0.682694276012717,spec_extended_2_spline_interact,Mixed Outcome,,0.166 (0.407),mixed,Mixed Outcome,contract,mixed
legal_civil,-0.1361587617211614,Expands Expression,Expands Expression,0.3701858625518034,0.7130135027201114,spec_extended_2_spline_interact,Mixed Outcome,,-0.136 (0.37),mixed,Mixed Outcome,expand,mixed
high_court,-0.5079215848709374,Contracts Expression,Contracts Expression,0.3040430968777818,0.0948090421407804,spec_extended_2_spline_interact,Mixed Outcome,*,-0.508* (0.304),mixed,Mixed Outcome,contract,mixed
high_court,-0.1755484786010045,Expands Expression,Expands Expression,0.1754664630567256,0.3170843595457682,spec_extended_2_spline_interact,Mixed Outcome,,-0.176 (0.175),mixed,Mixed Outcome,expand,mixed
j_ind_lag1,0.1345448607937505,Contracts Expression,Contracts Expression,0.2595312419975648,0.6041688266056832,spec_extended_2_spline_interact,Mixed Outcome,,0.135 (0.26),mixed,Mixed Outcome,contract,mixed
j_ind_lag1,0.3607295454318027,Expands Expression,Expands Expression,0.2134104447898811,0.0909688990574286,spec_extended_2_spline_interact,Mixed Outcome,*,0.361* (0.213),mixed,Mixed Outcome,expand,mixed
wdj_expression_lag1,0.1731318911216234,Contracts Expression,Contracts Expression,0.2135309461247419,0.4174778446463811,spec_extended_3,Mixed Outcome,,0.173 (0.214),mixed,Mixed Outcome,contract,mixed
wdj_expression_lag1,0.0362359763243895,Expands Expression,Expands Expression,0.1926051061281796,0.8507699511726182,spec_extended_3,Mixed Outcome,,0.036 (0.193),mixed,Mixed Outcome,expand,mixed
v2jupack_lag1,0.5690310345854016,Contracts Expression,Contracts Expression,0.2398947754608474,0.0176919655260685,spec_extended_3,Mixed Outcome,**,0.569** (0.24),mixed,Mixed Outcome,contract,mixed
v2jupack_lag1,0.3129303423374125,Expands Expression,Expands Expression,0.2083852663485546,0.1331768507754247,spec_extended_3,Mixed Outcome,,0.313 (0.208),mixed,Mixed Outcome,expand,mixed
v2x_polyarchy_lag1,-7.0509334974598765,Contracts Expression,Contracts Expression,1.7728464667840174,6.973671700498168e-05,spec_extended_3,Mixed Outcome,***,-7.051*** (1.773),mixed,Mixed Outcome,contract,mixed
v2x_polyarchy_lag1,-3.220782418479518,Expands Expression,Expands Expression,1.2624507078391611,0.0107348267450355,spec_extended_3,Mixed Outcome,**,-3.221** (1.262),mixed,Mixed Outcome,expand,mixed
v2jureview_lag1,-0.4727265098843764,Contracts Expression,Contracts Expression,0.3824374629000696,0.2164257079166209,spec_extended_3,Mixed Outcome,,-0.473 (0.382),mixed,Mixed Outcome,contract,mixed
v2jureview_lag1,0.4306942616649369,Expands Expression,Expands Expression,0.3603500791586856,0.2320047284701243,spec_extended_3,Mixed Outcome,,0.431 (0.36),mixed,Mixed Outcome,expand,mixed
legal_common,0.6217378676154867,Contracts Expression,Contracts Expression,0.4796281711415156,0.1948751145272613,spec_extended_3,Mixed Outcome,,0.622 (0.48),mixed,Mixed Outcome,contract,mixed
legal_common,-1.1659874834019093,Expands Expression,Expands Expression,0.3921880493692041,0.0029487404367603,spec_extended_3,Mixed Outcome,***,-1.166*** (0.392),mixed,Mixed Outcome,expand,mixed
legal_civil,0.3830127316648025,Contracts Expression,Contracts Expression,0.4254584725838103,0.3679950492852865,spec_extended_3,Mixed Outcome,,0.383 (0.425),mixed,Mixed Outcome,contract,mixed
legal_civil,-0.0398937387817302,Expands Expression,Expands Expression,0.3755106836854379,0.915393025864636,spec_extended_3,Mixed Outcome,,-0.04 (0.376),mixed,Mixed Outcome,expand,mixed
high_court,-0.4015333844143729,Contracts Expression,Contracts Expression,0.2664036841264818,0.1317500206541133,spec_extended_3,Mixed Outcome,,-0.402 (0.266),mixed,Mixed Outcome,contract,mixed
high_court,0.0195375486143134,Expands Expression,Expands Expression,0.1399652720829012,0.8889850921445993,spec_extended_3,Mixed Outcome,,0.02 (0.14),mixed,Mixed Outcome,expand,mixed
j_ind_lag1,0.1957178746916428,Contracts Expression,Contracts Expression,0.2637107528572266,0.457985111502548,spec_extended_3,Mixed Outcome,,0.196 (0.264),mixed,Mixed Outcome,contract,mixed
j_ind_lag1,0.3573531934252298,Expands Expression,Expands Expression,0.2024188614952268,0.0774941279834638,spec_extended_3,Mixed Outcome,*,0.357* (0.202),mixed,Mixed Outcome,expand,mixed
wdj_expression_lag1,0.4538852881578795,Contracts Expression,Contracts Expression,0.3945948891444857,0.2500382915814338,spec_extended_3_spline,Mixed Outcome,,0.454 (0.395),mixed,Mixed Outcome,contract,mixed
wdj_expression_lag1,0.1861937926606736,Expands Expression,Expands Expression,0.2859413172484201,0.5149426563594852,spec_extended_3_spline,Mixed Outcome,,0.186 (0.286),mixed,Mixed Outcome,expand,mixed
v2jupack_lag1,0.5215069101238727,Contracts Expression,Contracts Expression,0.2275184671282037,0.0218968734829912,spec_extended_3_spline,Mixed Outcome,**,0.522** (0.228),mixed,Mixed Outcome,contract,mixed
v2jupack_lag1,0.2821526800324685,Expands Expression,Expands Expression,0.2089760641263588,0.1769622759248653,spec_extended_3_spline,Mixed Outcome,,0.282 (0.209),mixed,Mixed Outcome,expand,mixed
v2x_polyarchy_lag1,-6.277015614639558,Contracts Expression,Contracts Expression,1.741475512319833,0.0003128463329764,spec_extended_3_spline,Mixed Outcome,***,-6.277*** (1.741),mixed,Mixed Outcome,contract,mixed
v2x_polyarchy_lag1,-2.8114520851539795,Expands Expression,Expands Expression,1.2952805028552066,0.0299663156867348,spec_extended_3_spline,Mixed Outcome,**,-2.811** (1.295),mixed,Mixed Outcome,expand,mixed
v2jureview_lag1,-0.4545115304542324,Contracts Expression,Contracts Expression,0.3765358971526365,0.2273986981149031,spec_extended_3_spline,Mixed Outcome,,-0.455 (0.377),mixed,Mixed Outcome,contract,mixed
v2jureview_lag1,0.4045960355089275,Expands Expression,Expands Expression,0.3535625295157367,0.2524823201081478,spec_extended_3_spline,Mixed Outcome,,0.405 (0.354),mixed,Mixed Outcome,expand,mixed
legal_common,0.437099748903233,Contracts Expression,Contracts Expression,0.4731327524265131,0.3555687597242424,spec_extended_3_spline,Mixed Outcome,,0.437 (0.473),mixed,Mixed Outcome,contract,mixed
legal_common,-1.3028869170962687,Expands Expression,Expands Expression,0.3769691191708837,0.00054781498054,spec_extended_3_spline,Mixed Outcome,***,-1.303*** (0.377),mixed,Mixed Outcome,expand,mixed
legal_civil,0.3469727925081782,Contracts Expression,Contracts Expression,0.416845723110697,0.4051961801492807,spec_extended_3_spline,Mixed Outcome,,0.347 (0.417),mixed,Mixed Outcome,contract,mixed
