variable,coef,class_label,outcome,std_err,p_value,spec,base_category,stars,coef_se
legal_common,-0.5300304684169949,Expands Expression,Expands Expression,0.4765744930849706,0.26606631386523893,spec_extended_2,Mixed Outcome,,-0.53 (0.477)
legal_civil,-0.35198584988009896,Contracts Expression,Contracts Expression,0.32771373381520674,0.28279355219383373,spec_extended_2,Mixed Outcome,,-0.352 (0.328)
legal_civil,-0.19910119457884398,Expands Expression,Expands Expression,0.42648346811802584,0.6406115831405652,spec_extended_2,Mixed Outcome,,-0.199 (0.426)
high_court,0.5132355165118864,Contracts Expression,Contracts Expression,0.28199571523546685,0.06875721482376568,spec_extended_2,Mixed Outcome,*,0.513* (0.282)
high_court,0.5374338034321005,Expands Expression,Expands Expression,0.27312480564019703,0.049099984767768265,spec_extended_2,Mixed Outcome,**,0.537** (0.273)
j_ind_lag1,0.1806953113276968,Contracts Expression,Contracts Expression,0.2678971557724503,0.49999661782037486,spec_extended_2,Mixed Outcome,,0.181 (0.268)
j_ind_lag1,-0.17848843512689888,Expands Expression,Expands Expression,0.25259531083884956,0.4798037971371518,spec_extended_2,Mixed Outcome,,-0.178 (0.253)
Intercept,-5.922806227408855,Contracts Expression,Contracts Expression,1.5428344513648904,0.00012358053406037292,spec_extended_2_spline,Mixed Outcome,***,-5.923*** (1.543)
Intercept,-2.670504416571969,Expands Expression,Expands Expression,1.0024617447384874,0.007722985334710986,spec_extended_2_spline,Mixed Outcome,***,-2.671*** (1.002)
"bs(year, df=4)[0]",7.285960382062179,Contracts Expression,Contracts Expression,3.6972440734168144,0.04876434593696518,spec_extended_2_spline,Mixed Outcome,**,7.286** (3.697)
"bs(year, df=4)[0]",-4.689822590087567,Expands Expression,Expands Expression,2.7586664789613713,0.08912481800543044,spec_extended_2_spline,Mixed Outcome,*,-4.69* (2.759)
"bs(year, df=4)[1]",3.945513325756731,Contracts Expression,Contracts Expression,0.773794089059778,3.4159881164609584e-07,spec_extended_2_spline,Mixed Outcome,***,3.946*** (0.774)
"bs(year, df=4)[1]",0.6772403026430459,Expands Expression,Expands Expression,1.3247097901066973,0.6091853015385097,spec_extended_2_spline,Mixed Outcome,,0.677 (1.325)
"bs(year, df=4)[2]",3.751010985441089,Contracts Expression,Contracts Expression,1.8389017873778102,0.04136921385040442,spec_extended_2_spline,Mixed Outcome,**,3.751** (1.839)
"bs(year, df=4)[2]",-1.226003869532093,Expands Expression,Expands Expression,0.9360976064015383,0.1902984880392975,spec_extended_2_spline,Mixed Outcome,,-1.226 (0.936)
"bs(year, df=4)[3]",6.411137227252321,Contracts Expression,Contracts Expression,2.027824417939663,0.0015691355593292983,spec_extended_2_spline,Mixed Outcome,***,6.411*** (2.028)
"bs(year, df=4)[3]",2.17249094774198,Expands Expression,Expands Expression,1.7761293002678855,0.22126913571034634,spec_extended_2_spline,Mixed Outcome,,2.172 (1.776)
wdj_expression_lag1,-0.4761370414986539,Contracts Expression,Contracts Expression,0.276558528742417,0.08513290679078614,spec_extended_2_spline,Mixed Outcome,*,-0.476* (0.277)
wdj_expression_lag1,-0.6126605379026173,Expands Expression,Expands Expression,0.4727251284775084,0.19496909238854898,spec_extended_2_spline,Mixed Outcome,,-0.613 (0.473)
v2jupoatck_lag1,-0.26643902302099204,Contracts Expression,Contracts Expression,0.0989466402065402,0.007086440150104714,spec_extended_2_spline,Mixed Outcome,***,-0.266*** (0.099)
v2jupoatck_lag1,-0.22694145541008534,Expands Expression,Expands Expression,0.14606044242730984,0.1202439911272279,spec_extended_2_spline,Mixed Outcome,,-0.227 (0.146)
v2x_polyarchy_lag1,3.3731248503275175,Contracts Expression,Contracts Expression,1.193614036864502,0.004713676740373955,spec_extended_2_spline,Mixed Outcome,***,3.373*** (1.194)
v2x_polyarchy_lag1,4.894216736745683,Expands Expression,Expands Expression,1.54482054208719,0.0015341455317336235,spec_extended_2_spline,Mixed Outcome,***,4.894*** (1.545)
v2jureview_lag1,0.6798508683484797,Contracts Expression,Contracts Expression,0.320847235283328,0.034096900543411385,spec_extended_2_spline,Mixed Outcome,**,0.68** (0.321)
v2jureview_lag1,0.2729145186976303,Expands Expression,Expands Expression,0.36154729435445265,0.45033808710762324,spec_extended_2_spline,Mixed Outcome,,0.273 (0.362)
legal_common,-1.6647909687136049,Contracts Expression,Contracts Expression,0.32522225416835665,3.072688897718553e-07,spec_extended_2_spline,Mixed Outcome,***,-1.665*** (0.325)
legal_common,-0.3574015304017237,Expands Expression,Expands Expression,0.45733664172833954,0.43451754634356554,spec_extended_2_spline,Mixed Outcome,,-0.357 (0.457)
legal_civil,-0.3461799821781209,Contracts Expression,Contracts Expression,0.31207745702315276,0.2673112058020689,spec_extended_2_spline,Mixed Outcome,,-0.346 (0.312)
legal_civil,-0.1783064771375593,Expands Expression,Expands Expression,0.4084122645765904,0.6624126828576399,spec_extended_2_spline,Mixed Outcome,,-0.178 (0.408)
high_court,0.36329309701953694,Contracts Expression,Contracts Expression,0.335192115937483,0.2784377652140374,spec_extended_2_spline,Mixed Outcome,,0.363 (0.335)
high_court,0.5413704820717589,Expands Expression,Expands Expression,0.2991354006167688,0.07032927960883044,spec_extended_2_spline,Mixed Outcome,*,0.541* (0.299)
j_ind_lag1,0.22009534575188572,Contracts Expression,Contracts Expression,0.2638230283214446,0.40413801878983824,spec_extended_2_spline,Mixed Outcome,,0.22 (0.264)
j_ind_lag1,-0.10675088956524026,Expands Expression,Expands Expression,0.26367555674851434,0.685582642308011,spec_extended_2_spline,Mixed Outcome,,-0.107 (0.264)
Intercept,83.10448450974546,Contracts Expression,Contracts Expression,53.32483764375381,0.11912487365510221,spec_extended_2_spline_interact,Mixed Outcome,,83.104 (53.325)
Intercept,102.41363716670978,Expands Expression,Expands Expression,87.50566058861789,0.2418537708750288,spec_extended_2_spline_interact,Mixed Outcome,,102.414 (87.506)
