row_id,case_id,indep1,indep2,attack1,attack2,attack3,attack4,attack5,dejure1,dejure2,dejure3,dejure4,dejure5,dejure6,full1,full2,full3,full4
218,Pakistan_2023_02,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
219,Pakistan_2024_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
220,Philippines_1987_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
221,Philippines_1989_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
222,Philippines_2007_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
223,Philippines_2014_02,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
224,Philippines_2017_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225,Philippines_2019_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
226,Philippines_2020_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
227,Philippines_2023_02,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
228,Poland_1999_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
229,Poland_2007_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
230,Poland_2009_02,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
231,Poland_2013_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
232,Poland_2014_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
233,Poland_2015_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
234,Poland_2016_02,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
235,Poland_2017_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
236,Poland_2018_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
237,Poland_2019_02,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
238,Poland_2022_02,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
239,Poland_2023_02,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
240,Poland_2024_02,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
241,Poland_2025_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
242,Rwanda_2012_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
243,Rwanda_2018_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
244,Rwanda_2021_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
245,Singapore_2014_02,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
246,Singapore_2015_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
247,Singapore_2016_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
248,Singapore_2020_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
249,Singapore_2021_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
250,Somalia_2022_02,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
251,South Africa_1995_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
252,South Africa_1998_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
253,South Africa_2000_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
254,South Africa_2001_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
255,South Africa_2002_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
256,South Africa_2004_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
257,South Africa_2005_06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
258,South Africa_2006_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
259,South Africa_2007_02,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
260,South Africa_2008_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
261,South Africa_2009_02,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
262,South Africa_2010_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
263,South Africa_2011_02,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
264,South Africa_2012_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
265,South Africa_2013_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
266,South Africa_2014_04,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
267,South Africa_2015_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
268,South Africa_2016_03,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
