,Intercept,wdj_citizen_lag1,v2jureform_lag1,v2x_polyarchy_lag1,v2jureview_lag1,legal_common,legal_civil,high_court,j_ind_lag1,mode_electronic_internet,mode_press_newspapers,mode_public_speech,mode_public_documents,mode_audio_visual_broadcasting,mode_public_assembly,mode_non_verbal_expression,defendant_citizen,defendant_press,defendant_government,defendant_intermediary,defendant_unclear
117,1.0,0.0,2.042,0.885,1.057,0.0,1.0,1.0,1.789,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
121,1.0,0.0,0.887,0.883,1.057,0.0,1.0,0.0,2.153,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
127,1.0,0.0,0.641,0.868,1.057,0.0,1.0,0.0,2.153,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
135,1.0,0.0,1.172,0.843,1.784,0.0,1.0,1.0,1.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,1.0,0.0,1.172,0.843,1.784,0.0,1.0,1.0,1.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
138,1.0,0.0,1.172,0.843,1.784,0.0,1.0,1.0,1.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
139,1.0,0.0,1.172,0.85,1.784,0.0,1.0,0.0,2.156,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
144,1.0,0.393939394,-1.012,0.738,1.784,0.0,1.0,1.0,-0.062,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
149,1.0,0.545138889,-0.642,0.45,1.784,0.0,1.0,1.0,-0.758,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
151,1.0,0.454248366,1.189,0.434,1.784,0.0,1.0,1.0,-1.293,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
152,1.0,0.0,-0.2,0.241,0.764,0.0,1.0,0.0,-2.054,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
153,1.0,0.0,-0.2,0.232,0.764,0.0,1.0,0.0,-2.054,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
154,1.0,0.0,-0.2,0.229,0.764,0.0,1.0,0.0,-1.597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,1.0,0.873015873,-0.2,0.23,0.764,0.0,1.0,0.0,-1.597,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
156,1.0,0.873015873,-0.2,0.234,0.764,0.0,1.0,0.0,-1.597,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
157,1.0,0.873015873,0.025,0.242,0.764,0.0,1.0,0.0,-1.597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
158,1.0,0.873015873,-0.183,0.232,0.764,0.0,1.0,1.0,-1.902,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
159,1.0,0.0,1.837,0.427,1.883,0.0,0.0,0.0,1.908,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
160,1.0,0.0,1.825,0.425,1.883,0.0,0.0,0.0,1.908,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
161,1.0,0.0,1.625,0.524,1.883,0.0,0.0,0.0,1.542,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
162,1.0,0.0,1.49,0.539,1.883,0.0,0.0,0.0,1.542,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
163,1.0,0.0,1.49,0.539,1.883,0.0,0.0,0.0,1.542,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
164,1.0,0.777777778,1.472,0.534,1.883,0.0,0.0,0.0,1.542,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
165,1.0,0.777777778,1.566,0.512,1.883,0.0,0.0,0.0,1.802,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
166,1.0,0.844444444,1.331,0.496,1.883,0.0,0.0,0.0,1.594,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
167,1.0,0.844444444,1.331,0.501,1.883,0.0,0.0,0.0,1.594,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
168,1.0,0.844444444,0.851,0.57,1.883,0.0,0.0,0.0,1.402,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
169,1.0,0.844444444,0.851,0.557,1.883,0.0,0.0,1.0,1.967,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,1.0,0.0,0.68,0.496,1.134,0.0,0.0,0.0,1.085,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
171,1.0,0.0,0.68,0.614,1.134,0.0,0.0,0.0,1.085,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
172,1.0,0.0,0.68,0.568,1.134,0.0,0.0,0.0,1.085,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
173,1.0,0.0,0.149,0.501,1.134,0.0,0.0,1.0,1.09,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
174,1.0,-0.037037037,0.763,0.478,1.348,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
175,1.0,0.0,0.071,0.528,0.933,0.0,0.0,0.0,0.972,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
176,1.0,0.0,0.071,0.48,1.314,0.0,0.0,1.0,1.003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
