,Intercept,"bs(year, df=4)[0]","bs(year, df=4)[1]","bs(year, df=4)[2]","bs(year, df=4)[3]",v2x_polyarchy_lag1,"bs(year, df=4)[0]:v2x_polyarchy_lag1","bs(year, df=4)[1]:v2x_polyarchy_lag1","bs(year, df=4)[2]:v2x_polyarchy_lag1","bs(year, df=4)[3]:v2x_polyarchy_lag1",wdj_expression_lag1,v2jupoatck_lag1,v2jureview_lag1,legal_common,legal_civil,high_court,j_ind_lag1
247,1.0,0.0014461566939701052,0.0663946606609386,0.8443676874461886,0.0877914951989026,0.403,0.0005828011476699524,0.02675704824635826,0.340280178040814,0.03537997256515775,0.305555556,2.621,1.667,1.0,0.0,0.0,0.132
248,1.0,0.0007404322273126938,0.04487841999989717,0.7829133837124335,0.17146776406035666,0.402,0.00029765375537970295,0.018041124839958664,0.31473118025239827,0.06893004115226338,0.305555556,2.621,1.667,1.0,0.0,0.0,0.416
250,1.0,0.1693252581213426,0.44967628845890234,0.3678617055627571,0.0,0.392,0.0663755011835663,0.17627310507588972,0.1442017885806008,0.0,0.0,-0.389,-0.987,0.0,0.0,0.0,0.691
251,1.0,0.13763706092560826,0.43536138127019725,0.41872885361436474,0.0,0.663,0.09125337139367828,0.2886445957821408,0.2776172299463238,0.0,0.0,-0.298,1.237,0.0,0.0,0.0,0.909
252,1.0,0.1175031326342541,0.42156615718075213,0.4551205256236867,0.0,0.709,0.08330972103768615,0.29889040544115325,0.32268045266719386,0.0,0.0,0.35,1.237,0.0,0.0,0.0,0.909
253,1.0,0.10780340928605786,0.41332765389752335,0.47408149226211926,0.0,0.743,0.080097933099541,0.30710244684585986,0.3522425487507546,0.0,0.0,0.35,1.237,0.0,0.0,1.0,1.392
254,1.0,0.09837952640095558,0.4041661984777731,0.4935619053858645,0.0,0.743,0.07309598811591,0.3002954854689854,0.3667164957016973,0.0,0.0,0.35,1.237,0.0,0.0,1.0,1.392
255,1.0,0.08045232181435334,0.38298735729615674,0.5341091492776886,0.0,0.743,0.059776075108064534,0.28455960647104445,0.3968430979133226,0.0,0.0,0.35,1.237,0.0,0.0,1.0,1.392
256,1.0,0.07199552001001348,0.3709264345680147,0.555190019139965,0.0,0.764,0.055004577287650305,0.2833877960099632,0.4241651746229333,0.0,0.0,0.35,1.237,0.0,0.0,1.0,1.392
257,1.0,0.0639075984630879,0.3578554857707996,0.5768184136759497,0.0,0.778,0.049720111604282385,0.27841156792968214,0.44876472583988886,0.0,0.0,0.35,1.237,0.0,0.0,1.0,1.392
