,Intercept,wdj_expression_lag1,v2jupack_lag1
600,1.0,0.907407407,1.195
601,1.0,0.907407407,1.226
602,1.0,0.907407407,1.226
603,1.0,0.907407407,1.226
604,1.0,0.907407407,1.548
605,1.0,0.907407407,1.548
606,1.0,0.907407407,1.548
607,1.0,0.0,1.19
608,1.0,0.0,0.746
609,1.0,0.0,0.746
610,1.0,0.0,1.228
611,1.0,0.0,1.398
612,1.0,0.0,1.398
613,1.0,0.736111111,0.312
614,1.0,0.0,0.388
615,1.0,0.0,0.388
616,1.0,0.359477124,0.181
617,1.0,0.583979328,1.769
618,1.0,0.55308642,0.036
619,1.0,0.559178744,-1.0
620,1.0,0.449074074,-1.159
622,1.0,0.449074074,-1.149
623,1.0,0.259259259,-1.056
624,1.0,0.0,1.673
625,1.0,0.0,1.673
626,1.0,0.305555556,1.673
627,1.0,0.305555556,1.673
628,1.0,0.305555556,1.673
629,1.0,0.458333333,1.257
630,1.0,0.0,1.37
631,1.0,0.0,1.37
632,1.0,0.0,1.37
633,1.0,0.0,1.37
634,1.0,0.0,1.37
635,1.0,0.0,1.37
636,1.0,0.0,1.37
637,1.0,0.0,1.37
638,1.0,0.0,1.37
639,1.0,0.0,1.37
640,1.0,0.0,1.37
641,1.0,0.0,1.37
642,1.0,0.0,1.37
643,1.0,0.0,1.37
644,1.0,0.0,1.355
645,1.0,0.0,1.355
646,1.0,0.0,1.355
647,1.0,0.0,1.355
648,1.0,0.0,1.355
649,1.0,0.0,1.355
650,1.0,0.0,1.355
651,1.0,0.0,1.355
652,1.0,0.0,1.355
653,1.0,0.0,1.355
654,1.0,0.0,1.355
655,1.0,0.0,1.355
656,1.0,0.0,1.355
657,1.0,0.0,1.355
658,1.0,0.0,1.355
659,1.0,0.0,1.355
660,1.0,0.0,1.355
661,1.0,0.0,1.355
662,1.0,0.0,1.355
663,1.0,0.0,1.355
664,1.0,0.0,1.355
665,1.0,0.402777778,1.355
666,1.0,0.402777778,1.355
667,1.0,0.402777778,1.355
668,1.0,0.402777778,1.355
669,1.0,0.402777778,1.355
670,1.0,0.402777778,1.355
671,1.0,0.402777778,1.355
672,1.0,0.402777778,1.355
673,1.0,0.402777778,1.355
674,1.0,0.402777778,1.355
675,1.0,0.402777778,1.355
676,1.0,0.402777778,1.355
677,1.0,0.0,-0.237
678,1.0,0.0,-0.237
679,1.0,0.0,-0.237
680,1.0,0.0,-0.237
681,1.0,0.0,-0.237
682,1.0,0.0,-0.237
683,1.0,0.0,-0.237
684,1.0,0.0,-0.237
685,1.0,0.0,-0.237
