variable,coef,class_label,outcome,std_err,p_value,spec,base_category,stars,coef_se
v2x_polyarchy_lag1,-4.894216736745731,Contracts Expression,Contracts Expression,1.5448205420869516,0.0015341455317308785,spec_extended_2_spline,Mixed Outcome,***,-4.894*** (1.545)
v2x_polyarchy_lag1,-1.521091886418196,Expands Expression,Expands Expression,1.1843120210672642,0.19901339405039475,spec_extended_2_spline,Mixed Outcome,,-1.521 (1.184)
v2jureview_lag1,-0.2729145186976264,Contracts Expression,Contracts Expression,0.3615472943544368,0.4503380871076098,spec_extended_2_spline,Mixed Outcome,,-0.273 (0.362)
v2jureview_lag1,0.4069363496508527,Expands Expression,Expands Expression,0.33382533808568027,0.2228404831199463,spec_extended_2_spline,Mixed Outcome,,0.407 (0.334)
legal_common,0.3574015304017212,Contracts Expression,Contracts Expression,0.457336641728345,0.4345175463435743,spec_extended_2_spline,Mixed Outcome,,0.357 (0.457)
legal_common,-1.3073894383118823,Expands Expression,Expands Expression,0.37008457828428243,0.00041137406892425985,spec_extended_2_spline,Mixed Outcome,***,-1.307*** (0.37)
legal_civil,0.17830647713756273,Contracts Expression,Contracts Expression,0.4084122645765821,0.6624126828576273,spec_extended_2_spline,Mixed Outcome,,0.178 (0.408)
legal_civil,-0.16787350504056028,Expands Expression,Expands Expression,0.3520263871102003,0.6334492705882052,spec_extended_2_spline,Mixed Outcome,,-0.168 (0.352)
high_court,-0.5413704820717585,Contracts Expression,Contracts Expression,0.29913540061679855,0.07032927960885853,spec_extended_2_spline,Mixed Outcome,*,-0.541* (0.299)
high_court,-0.17807738505222176,Expands Expression,Expands Expression,0.17363249616237553,0.30508044723268934,spec_extended_2_spline,Mixed Outcome,,-0.178 (0.174)
j_ind_lag1,0.10675088956524759,Contracts Expression,Contracts Expression,0.26367555674848503,0.6855826423079576,spec_extended_2_spline,Mixed Outcome,,0.107 (0.264)
j_ind_lag1,0.32684623531712953,Expands Expression,Expands Expression,0.20333667836247066,0.10796356825861399,spec_extended_2_spline,Mixed Outcome,,0.327 (0.203)
Intercept,-102.41363716706127,Contracts Expression,Contracts Expression,87.50566074974009,0.24185377174025946,spec_extended_2_spline_interact,Mixed Outcome,,-102.414 (87.506)
Intercept,-19.309152657284884,Expands Expression,Expands Expression,51.276175285846726,0.7064919778869982,spec_extended_2_spline_interact,Mixed Outcome,,-19.309 (51.276)
"bs(year, df=4)[0]",131.70185458946744,Contracts Expression,Contracts Expression,88.7785883595977,0.13794514895871532,spec_extended_2_spline_interact,Mixed Outcome,,131.702 (88.779)
"bs(year, df=4)[0]",82.40883867703239,Expands Expression,Expands Expression,58.86069189444591,0.16149363054612853,spec_extended_2_spline_interact,Mixed Outcome,,82.409 (58.861)
"bs(year, df=4)[1]",98.49349093060611,Contracts Expression,Contracts Expression,87.98082006675357,0.26293191713703623,spec_extended_2_spline_interact,Mixed Outcome,,98.493 (87.981)
"bs(year, df=4)[1]",1.1262322375781038,Expands Expression,Expands Expression,50.97930053928108,0.9823746066433031,spec_extended_2_spline_interact,Mixed Outcome,,1.126 (50.979)
"bs(year, df=4)[2]",107.51489231709651,Contracts Expression,Contracts Expression,87.69305777716944,0.2201849283252154,spec_extended_2_spline_interact,Mixed Outcome,,107.515 (87.693)
"bs(year, df=4)[2]",24.188503994204016,Expands Expression,Expands Expression,51.54850170665202,0.6388996906993324,spec_extended_2_spline_interact,Mixed Outcome,,24.189 (51.549)
"bs(year, df=4)[3]",97.98307220381447,Contracts Expression,Contracts Expression,88.23860204252782,0.2668124034209146,spec_extended_2_spline_interact,Mixed Outcome,,97.983 (88.239)
"bs(year, df=4)[3]",15.031478903132731,Expands Expression,Expands Expression,51.7242298417529,0.7713510829886462,spec_extended_2_spline_interact,Mixed Outcome,,15.031 (51.724)
v2x_polyarchy_lag1,188.954858065695,Contracts Expression,Contracts Expression,164.3548476112792,0.2502772568923749,spec_extended_2_spline_interact,Mixed Outcome,,188.955 (164.355)
v2x_polyarchy_lag1,14.157977369970862,Expands Expression,Expands Expression,94.13122364611102,0.8804436662735944,spec_extended_2_spline_interact,Mixed Outcome,,14.158 (94.131)
"bs(year, df=4)[0]:v2x_polyarchy_lag1",-240.0452081021143,Contracts Expression,Contracts Expression,183.08688963471926,0.18982400457476556,spec_extended_2_spline_interact,Mixed Outcome,,-240.045 (183.087)
"bs(year, df=4)[0]:v2x_polyarchy_lag1",-86.70185366971253,Expands Expression,Expands Expression,109.93267924303927,0.43029827202043525,spec_extended_2_spline_interact,Mixed Outcome,,-86.702 (109.933)
"bs(year, df=4)[1]:v2x_polyarchy_lag1",-182.19380008244167,Contracts Expression,Contracts Expression,160.19609415648,0.2554056370031679,spec_extended_2_spline_interact,Mixed Outcome,,-182.194 (160.196)
"bs(year, df=4)[1]:v2x_polyarchy_lag1",8.590701978121778,Expands Expression,Expands Expression,91.88636121379542,0.9255121663574504,spec_extended_2_spline_interact,Mixed Outcome,,8.591 (91.886)
"bs(year, df=4)[2]:v2x_polyarchy_lag1",-196.29598414570938,Contracts Expression,Contracts Expression,165.7461852517418,0.23628769909017422,spec_extended_2_spline_interact,Mixed Outcome,,-196.296 (165.746)
"bs(year, df=4)[2]:v2x_polyarchy_lag1",-20.307039292251723,Expands Expression,Expands Expression,94.97843241817584,0.8306976842693342,spec_extended_2_spline_interact,Mixed Outcome,,-20.307 (94.978)
"bs(year, df=4)[3]:v2x_polyarchy_lag1",-186.9438190419844,Contracts Expression,Contracts Expression,165.24514318609812,0.2579237810627534,spec_extended_2_spline_interact,Mixed Outcome,,-186.944 (165.245)
"bs(year, df=4)[3]:v2x_polyarchy_lag1",-9.243472206373548,Expands Expression,Expands Expression,95.01723966848631,0.9225024075145445,spec_extended_2_spline_interact,Mixed Outcome,,-9.243 (95.017)
wdj_expression_lag1,0.7689858899060414,Contracts Expression,Contracts Expression,0.5561475679855037,0.16675651469674446,spec_extended_2_spline_interact,Mixed Outcome,,0.769 (0.556)
wdj_expression_lag1,0.26014195189212863,Expands Expression,Expands Expression,0.36890214363086643,0.48069900486223327,spec_extended_2_spline_interact,Mixed Outcome,,0.26 (0.369)
