,Intercept,wdj_expression_lag1,v2jupack_lag1,v2x_polyarchy_lag1,v2jureview_lag1,legal_common,legal_civil,high_court,j_ind_lag1
435,1.0,0.0,1.858,0.84,1.901,1.0,0.0,1.0,2.199
436,1.0,0.0,1.858,0.836,1.901,1.0,0.0,1.0,2.199
437,1.0,0.0,1.858,0.832,1.901,1.0,0.0,0.0,2.289
438,1.0,0.0,1.858,0.825,1.901,1.0,0.0,1.0,2.199
439,1.0,0.0,1.858,0.824,1.901,1.0,0.0,1.0,2.199
440,1.0,0.0,1.858,0.83,1.901,1.0,0.0,0.0,2.289
441,1.0,0.0,1.858,0.826,1.901,1.0,0.0,1.0,2.199
442,1.0,0.0,1.858,0.826,1.901,1.0,0.0,1.0,2.199
443,1.0,0.0,1.667,0.826,1.901,1.0,0.0,1.0,2.199
444,1.0,0.0,1.667,0.826,1.901,1.0,0.0,1.0,2.199
445,1.0,0.0,1.667,0.826,1.901,1.0,0.0,1.0,2.199
446,1.0,0.0,1.667,0.811,1.901,1.0,0.0,1.0,2.199
447,1.0,0.0,1.667,0.811,1.901,1.0,0.0,0.0,2.289
448,1.0,0.0,1.667,0.811,1.901,1.0,0.0,1.0,2.199
449,1.0,0.0,1.667,0.81,1.901,1.0,0.0,1.0,2.199
450,1.0,0.0,1.667,0.817,1.901,1.0,0.0,0.0,2.289
451,1.0,0.0,1.667,0.817,1.901,1.0,0.0,0.0,2.289
452,1.0,0.0,1.667,0.817,1.901,1.0,0.0,0.0,2.289
453,1.0,0.0,1.667,0.817,1.901,1.0,0.0,0.0,2.289
454,1.0,0.0,1.667,0.817,1.901,1.0,0.0,0.0,2.289
455,1.0,0.0,1.667,0.814,1.901,1.0,0.0,1.0,2.199
456,1.0,0.0,1.667,0.814,1.901,1.0,0.0,0.0,2.289
457,1.0,0.0,1.667,0.814,1.901,1.0,0.0,0.0,2.289
458,1.0,0.0,1.764,0.807,1.901,1.0,0.0,0.0,2.289
459,1.0,0.0,1.764,0.807,1.901,1.0,0.0,1.0,2.199
460,1.0,0.0,1.764,0.834,1.901,1.0,0.0,1.0,2.199
461,1.0,0.0,1.764,0.834,1.901,1.0,0.0,1.0,2.199
462,1.0,0.0,1.764,0.839,1.901,1.0,0.0,0.0,2.289
463,1.0,0.0,1.764,0.839,1.901,1.0,0.0,0.0,2.289
464,1.0,0.0,1.764,0.839,1.901,1.0,0.0,1.0,2.199
465,1.0,0.0,1.764,0.839,1.901,1.0,0.0,0.0,2.289
466,1.0,0.777777778,1.764,0.84,1.901,1.0,0.0,1.0,2.199
467,1.0,0.777777778,1.764,0.84,1.901,1.0,0.0,0.0,2.289
